                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.53376,                0.39723,                0.95101,                0.94363,                0.78127,                0.85606,                0.75664,                0.54747,                0.50598,                0.94309,             5.5501e-05,             5.5501e-05,             5.5501e-05
                    109,                0.53062,                0.39024,                0.94608,                0.93245,                0.79661,                0.85877,                0.76263,                0.54279,                0.50177,                0.94344,             5.4917e-05,             5.4917e-05,             5.4917e-05
                    110,                0.52001,                0.38979,                0.94388,                0.92764,                0.80059,                0.85823,                0.76302,                0.53988,                0.49815,                0.94318,             5.4333e-05,             5.4333e-05,             5.4333e-05
                    111,                0.52125,                 0.3931,                0.94592,                0.92543,                0.79816,                0.85839,                0.76217,                0.54211,                 0.5051,                0.94248,             5.3749e-05,             5.3749e-05,             5.3749e-05
                    112,                0.51935,                0.39095,                0.94716,                0.92726,                0.79903,                0.86047,                0.76359,                 0.5385,                0.50193,                0.94065,             5.3165e-05,             5.3165e-05,             5.3165e-05
                    113,                0.52291,                0.38775,                0.94503,                0.93669,                0.79058,                0.85966,                0.76618,                0.53262,                0.49341,                0.93343,             5.2581e-05,             5.2581e-05,             5.2581e-05
                    114,                 0.5132,                0.37826,                0.93906,                0.92963,                 0.7979,                0.85962,                0.76738,                0.53006,                0.50252,                0.93133,             5.1997e-05,             5.1997e-05,             5.1997e-05
                    115,                0.51427,                0.38127,                0.94346,                 0.9365,                0.78639,                0.85773,                0.76603,                0.53746,                0.49944,                0.94209,             5.1413e-05,             5.1413e-05,             5.1413e-05
                    116,                0.50784,                0.37871,                0.94161,                0.94344,                0.78617,                0.86235,                0.76979,                0.53337,                0.49191,                 0.9408,             5.0829e-05,             5.0829e-05,             5.0829e-05
                    117,                0.50916,                0.38125,                 0.9401,                0.93975,                0.78909,                0.85971,                0.76598,                 0.5339,                0.49104,                 0.9384,             5.0244e-05,             5.0244e-05,             5.0244e-05
                    118,                0.50123,                0.36985,                0.93302,                0.93261,                0.79702,                0.86193,                0.77133,                0.52694,                0.48561,                0.93845,              4.966e-05,              4.966e-05,              4.966e-05
